,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
197,new balance,Men,2499,999,50,3.7,1500,Budget,Average,Casual
198,PUMA,Men,2499,1295,52,3.9,1204,Low-Mid,Average,Casual
199,PUMA,Men,6499,1199,52,4.0,5300,Low-Mid,Average,Casual
200,U.S. Polo Assn.,Men,3595,899,27,4.1,2696,Budget,Good,Casual
201,PUMA,Men,4699,1608,27,4.1,3091,Low-Mid,Good,Casual
202,Campus,Unisex,3499,1199,48,3.8,2300,Low-Mid,Average,Casual
203,PUMA,Men,3499,1608,48,3.8,1891,Low-Mid,Average,Casual
204,PUMA,Men,2799,1199,40,3.8,1600,Low-Mid,Average,Casual
205,new balance,Men,2799,1295,40,4.1,1504,Low-Mid,Good,Casual
206,new balance,Men,3799,899,64,4.1,2900,Budget,Good,Casual
207,Reebok,Men,5499,849,64,4.1,4650,Budget,Good,Unknown
208,PUMA,Women,7999,499,58,4.0,7500,Budget,Average,Casual
209,Centrino,Unisex,5499,3369,58,3.6,2130,Upper-Mid,Average,Unknown
210,Centrino,Unisex,3499,2494,35,3.6,1005,Mid,Average,Casual
211,Centrino,Unisex,7999,2147,35,4.3,5852,Mid,Good,Unknown
212,Cruiser,Women,2399,1304,48,4.4,1095,Low-Mid,Good,Unknown
213,Woodland,Men,5999,1199,48,3.9,4800,Low-Mid,Average,Unknown
214,Campus,Men,5499,999,52,4.2,4500,Budget,Good,Casual
215,U.S. Polo Assn.,Unisex,12999,1364,52,4.2,11635,Low-Mid,Good,Unknown
216,PUMA,Unisex,7499,1240,45,3.8,6259,Low-Mid,Average,Casual
217,U.S. Polo Assn.,Men,3999,747,45,4.7,3252,Budget,Excellent,Casual
218,PUMA,Men,8999,2526,36,5.0,6473,Mid,Excellent,Casual
219,Campus,Men,2199,2432,36,4.3,-233,Mid,Good,Unknown
220,U.S. Polo Assn.,Unisex,2499,3760,50,3.6,-1261,Upper-Mid,Average,Unknown
221,Boldfit,Men,2499,3089,50,3.8,-590,Upper-Mid,Average,Unknown
222,PUMA,Men,2499,3440,54,3.6,-941,Upper-Mid,Average,Casual
223,new balance,Men,2995,1749,54,3.5,1246,Low-Mid,Average,Casual
224,PUMA,Men,2499,2880,65,3.8,-381,Mid,Average,Casual
225,Lotto,Men,3799,798,65,4.3,3001,Budget,Good,Casual
226,PUMA,Women,6999,2530,52,4.5,4469,Mid,Good,Casual
227,PUMA,Women,3799,6976,52,4.8,-3177,Premium,Excellent,Casual
228,new balance,Unisex,6499,4102,66,5.0,2397,Upper-Mid,Excellent,Casual
229,U.S. Polo Assn.,Women,3799,1420,66,4.8,2379,Low-Mid,Excellent,Casual
230,U.S. Polo Assn.,Unisex,1599,2349,57,4.0,-750,Mid,Average,Unknown
231,The Souled Store,Women,3999,749,57,5.0,3250,Budget,Excellent,Casual
232,Reebok,Women,4999,649,66,5.0,4350,Budget,Excellent,Unknown
233,PUMA,Women,7999,499,66,4.5,7500,Budget,Good,Casual
234,Campus,Women,3499,849,76,4.2,2650,Budget,Good,Casual
235,U.S. Polo Assn.,Men,4999,4489,76,3.7,510,Upper-Mid,Average,Casual
236,Lotto,Women,4999,3419,70,4.0,1580,Upper-Mid,Average,Casual
237,U.S. Polo Assn.,Women,9999,3684,70,4.0,6315,Upper-Mid,Average,Unknown
238,PUMA,Women,7499,2621,70,4.5,4878,Mid,Good,Casual
239,U.S. Polo Assn.,Unisex,4299,1429,70,3.3,2870,Low-Mid,Average,Casual
240,PUMA,Men,3499,869,63,4.3,2630,Budget,Good,Casual
241,PUMA,Women,3499,3419,63,4.0,80,Upper-Mid,Average,Unknown
242,Skechers,Women,5999,1899,57,4.8,4100,Low-Mid,Excellent,Casual
243,PUMA,Women,5499,1499,57,2.6,4000,Low-Mid,Poor,Unknown
244,Skechers,Men,2999,999,63,4.6,2000,Budget,Excellent,Casual
245,Campus,Unisex,3699,2386,63,4.4,1313,Mid,Good,Casual
246,Cruiser,Women,3999,4000,64,2.5,-1,Upper-Mid,Poor,Casual
247,Boldfit,Women,3799,1664,64,4.0,2135,Low-Mid,Average,Unknown
248,Cruiser,Men,5999,1749,80,4.6,4250,Low-Mid,Excellent,Casual
249,Bacca Bucci,Women,5999,7498,80,4.5,-1499,Premium,Good,Casual
250,Campus,Women,3499,2244,80,5.0,1255,Mid,Excellent,Unknown
251,Boldfit,Women,4299,3600,80,3.8,699,Upper-Mid,Average,Unknown
252,Cruiser,Women,5999,2149,62,5.0,3850,Mid,Excellent,Casual
253,Cruiser,Men,5499,1826,62,4.4,3673,Low-Mid,Good,Casual
254,Bacca Bucci,Women,6499,2399,33,4.5,4100,Mid,Good,Unknown
255,Centrino,Women,1799,2319,33,4.0,-520,Mid,Average,Casual
256,Campus,Women,2499,2526,50,3.6,-27,Mid,Average,Casual
257,U.S. Polo Assn.,Men,2799,1098,50,4.1,1701,Low-Mid,Good,Casual
258,PUMA,Men,2499,1849,70,3.5,650,Low-Mid,Average,Unknown
259,Campus,Men,3499,2621,70,4.0,878,Mid,Average,Casual
260,PUMA,Men,3499,2814,70,4.1,685,Mid,Good,Casual
261,Lotto,Men,2699,2275,70,4.5,424,Mid,Good,Casual
262,Boldfit,Men,4499,2489,63,4.7,2010,Mid,Excellent,Running
263,Bata Comfit,Men,2199,1534,63,3.4,665,Low-Mid,Average,Casual
264,PUMA,Men,2199,2575,70,3.8,-376,Mid,Average,Unknown
265,PUMA,Men,3799,2220,70,4.1,1579,Mid,Good,Casual
266,Campus,Men,6999,3314,43,3.3,3685,Upper-Mid,Average,Casual
267,PUMA,Men,3499,799,43,4.8,2700,Budget,Excellent,Casual
268,PUMA,Women,3499,849,27,4.2,2650,Budget,Good,Casual
269,Campus,Women,2799,849,27,5.0,1950,Budget,Excellent,Running
270,PUMA,Unisex,2799,1199,44,4.0,1600,Low-Mid,Average,Casual
271,Campus,Men,2499,1304,44,4.1,1195,Low-Mid,Good,Casual
272,Centrino,Men,4999,899,72,4.1,4100,Budget,Good,Casual
273,Centrino,Men,3999,1499,72,4.2,2500,Low-Mid,Good,Casual
274,Cruiser,Women,4999,1899,61,4.2,3100,Low-Mid,Good,Casual
275,Centrino,Women,6499,1899,61,4.2,4600,Low-Mid,Good,Casual
276,SPARX,Women,1999,1199,48,4.1,800,Low-Mid,Good,Unknown
277,new balance,Women,5999,1199,48,,4800,Low-Mid,,Casual
278,PUMA,Unisex,1499,849,54,4.1,650,Budget,Good,Unknown
279,PUMA,Men,3499,899,54,,2600,Budget,,Casual
280,The Souled Store,Unisex,9999,1295,19,4.4,8704,Low-Mid,Good,Unknown
281,PUMA,Men,1999,499,19,4.5,1500,Budget,Good,Casual
282,U.S. Polo Assn.,Women,4999,1229,50,4.5,3770,Low-Mid,Good,Unknown
283,new balance,Women,1599,1899,50,5.0,-300,Low-Mid,Excellent,Unknown
284,U.S. Polo Assn.,Unisex,2499,759,55,4.0,1740,Budget,Average,Casual
285,Reebok,Women,7499,1304,55,4.8,6195,Low-Mid,Excellent,Casual
286,Reebok,Women,5499,1199,52,3.7,4300,Low-Mid,Average,Casual
287,LENSBURY,Men,3499,849,52,4.2,2650,Budget,Good,Casual
288,Lotto,Men,4299,1364,38,3.2,2935,Low-Mid,Average,Casual
